phenotype	ve	vg	h
activity30	0.369038423871866	0.886963598566202	0.293819928033341
activity5	0.410090087630167	0.880319848787649	0.317798302713632
activity.begin	0.606429056534035	0.823351633032863	0.42414131126314
activity.end	0.525984168542227	0.839705297420596	0.385141850774173
activity.middle	0.626541105556404	0.812242498266872	0.43546583645237
activity.total	0.648886666869443	0.807882128046021	0.445428724921689
basal.activity	0.476152084883589	0.854621936953424	0.357800856519971
bmd	0.631605700890671	0.806686204973045	0.439135962784598
bmd.a	0.201056498492841	0.934364529704264	0.17707660284783
bmd.n	0.473907332061211	0.863568165801086	0.354329729989992
decay.activity	0.0901140690397847	0.969914451582214	0.0850109853444385
EDL	0.75443142739758	0.796262411112255	0.486512171915194
fc.baseline	0.101317866725443	0.966442063986881	0.0948882457579796
fc.context	0.24385926915048	0.925163725554975	0.208600917376362
fc.context.corr	0.187645118918865	0.939894372112125	0.166419997166259
fc.cue	0.191038987732403	0.940948847025842	0.168764170293691
fc.cue.baseline	0.160842967281547	0.948272202940395	0.145019175271815
fc.cue.corr	0.164060087521145	0.949075665919209	0.14738551609662
fc.uncond.freeze	0.203870570574585	0.937164347845013	0.178671631573809
fc.uncond.freeze.corr	0.0837385957338071	0.971472217878383	0.079357219093707
gastroc	0.500279946727373	0.858286859172787	0.368240961370371
glucose	0.173638288328898	0.945306200663234	0.155180431220302
habit.diff	0.0620278604856743	0.976905295538389	0.0597034179918572
habit.ratio	0.0199211769150908	0.989037757846533	0.0197442891150203
plantaris	0.621196539711872	0.823346106173474	0.430029907000872
pp12.ppi	0.155412114299312	0.951498172211745	0.14040172557717
pp6.ppi	0.0825773361270689	0.971135075196176	0.0783680017733985
soleus	0.672854226087353	0.810508355435607	0.453600646546698
startle	0.277551409227684	0.917313869582889	0.232286780883568
TA	0.777149954063324	0.78145274466963	0.498619664039614
tail.length	0.502483870617771	0.858911076604422	0.369094854954571
tibia	1.2406557290595	0.672250694775991	0.648571050593816
weight	0.693503614341776	0.806355621405097	0.462379133832649
weight.bmi.tibia	0.914514367559242	0.752264115515255	0.548671810196088
