phenotype	ve	vg	h
activity30	2.19873491648612e-06	0.0484303594298288	4.53978686087002e-05
activity5	2.03721714762402e-06	0.0448726938187342	4.53978686012686e-05
activity.begin	1.97903279875386e-06	0.0435910982485525	4.53978685982943e-05
activity.end	2.08405636308324e-06	0.0459043961959023	4.53978686035423e-05
activity.middle	1.98220845105383e-06	0.043661046645314	4.53978685984611e-05
activity.total	1.96917446233616e-06	0.0433739539386544	4.53978685977729e-05
basal.activity	2.1290269349114e-06	0.0468949389580482	4.53978686056312e-05
bmd	2.00535866117101e-06	0.0441709639566027	4.53978685996614e-05
bmd.a	2.22622334761657e-06	0.0490358324178764	4.53978686098576e-05
bmd.n	1.88728168756753e-06	0.0415701455363713	4.53978685932315e-05
decay.activity	2.24031498549247e-06	0.0493462213975427	4.53978686104399e-05
EDL	1.97708727094273e-06	0.0435482451467679	4.53978685981918e-05
fc.baseline	2.36585031334128e-06	0.0521113210024446	4.53978686153213e-05
fc.context	2.20801082211182e-06	0.0486346748478091	4.5397868609094e-05
fc.context.corr	2.28705389862788e-06	0.0503757144690064	4.53978686123199e-05
fc.cue	2.26253423051976e-06	0.0498356328381229	4.53978686113433e-05
fc.cue.baseline	2.41291770516393e-06	0.0531480492984768	4.53978686170205e-05
fc.cue.corr	2.30660509022626e-06	0.0508063581219958	4.53978686130837e-05
fc.uncond.freeze	2.32729015029633e-06	0.0512619768900927	4.53978686138779e-05
fc.uncond.freeze.corr	2.32248905708997e-06	0.0511562257748051	4.53978686136948e-05
gastroc	2.03339650625681e-06	0.0447885385923451	4.53978686010785e-05
glucose	1.77542861282884e-06	0.0391064176115955	4.53978685863516e-05
habit.diff	2.17267691744376e-06	0.0478563938052412	4.5397868607576e-05
habit.ratio	2.06462335482182e-06	0.045476355704142	4.53978686026115e-05
plantaris	1.97696577201139e-06	0.0435455689547125	4.53978685981854e-05
pp12.ppi	2.13999437963287e-06	0.047136513004062	4.53978686061273e-05
pp6.ppi	2.0742787705307e-06	0.0456890303879882	4.53978686030762e-05
soleus	1.95351851471033e-06	0.0430291087437887	4.53978685969342e-05
startle	1.99940101962424e-06	0.044039738168855	4.53978685993552e-05
TA	1.92458080405547e-06	0.0423917132498695	4.53978685953479e-05
tail.length	1.75832663358599e-06	0.0387297214507795	4.53978685852226e-05
tibia	1.73058627166041e-06	0.03811869931769	4.53978685833437e-05
weight	1.99319768419507e-06	0.0439031006132106	4.53978685990344e-05
weight.bmi.tibia	1.72293116753994e-06	0.0379500844286248	4.53978685828146e-05
